id;codex_id;name;primary_product_id;third_party
7cbda2b8-1812-51b6-840a-3b039bcb99c8;core-rulebook;"Core Rules";216248;
d6468389-cc8c-5366-9bd1-526068737b1b;deck-core;"Drama Deck";287803;
61196626-9884-56ce-b6dd-c33846e5d02c;delphi-missions-day-one;"Day One Adventure Book";217599;
1a00c2dc-348d-594c-94c4-9446caf8bbc8;delphi-missions-rising-storm;"Delphi Missions: Rising Storm";222212;
f06d3199-709a-5aab-9331-067c47d970e9;sourcebook-living-land;"Living Land Sourcebook";247246;
b7dae3c0-25ca-52b1-93ae-295e4b249f41;deck-living-land;"Living Land - Booster Deck";247254;
6fec6c58-85b2-50b4-bbc0-dca06b57af2d;campaign-the-god-box;"Living Land - The God Box";247248;
bc9b0845-ba61-5488-92b3-a0b6f676dde7;delphi-missions-living-land;"Delphi Missions: Living Land";247250;
199e5cf8-e985-50c5-af28-4f4ff031bf24;digital-living-land;"Living Land Digital Only Set";247258;
8e22f957-ca04-5d41-a583-11c9c09211af;material-beta-primer-gm;"Beta Clearance GM's Primer";345480;
59e10511-2075-54a9-a311-84b33f473715;material-beta-primer-player;"Beta Clearance Player's Primer";345481;
23f60330-6ba1-5f1d-905a-a9739c737923;delphi-missions-burden-of-glory;"Burden of Glory";248272;
f14ff7d9-d246-5322-8c14-1e66870b8760;sourcebook-nile-empire;"Nile Empire Sourcebook";267981;
433092cb-5057-5f82-9b05-dcd5f02eb0da;deck-nile-empire;"Nile Empire - Booster Deck";287149;
89a23e5e-4ac7-532c-984a-20411fe9db8d;campaign-the-fires-of-ra;"Nile Empire - The Fires of Ra";267983;
9e861dec-f66a-5f4a-980d-3e21f81a1195;delphi-missions-nile-empire;"Delphi Missions: Nile Empire";267985;
dd6e2da0-da5a-5608-972e-5a7bb6d1d3d9;novel-nile-empire;"Cracking Tales of the Nile Empire";267995;
37101d0b-af93-5796-83cf-631449601612;digital-nile-empire;"Nile Empire Digital Only Set";268002;
9c4a062c-8601-5e01-a1c9-8ff959fee561;delphi-missions-death-of-the-mystery-men;"Death of the Mystery Men";283712;
c648eb82-b187-526a-bc3b-06eec0ef756c;delphi-missions-aysle;"Delphi Missions: Aysle";284209;
85d9fb28-22e7-5313-adb5-d0e2ab36e3fb;sourcebook-aysle;"Aysle Sourcebook";284210;
1214c117-d103-500e-9ed4-2872d7578bea;deck-aysle;"Aysle - Booster Deck";290966;
8e9d8260-ff20-50da-816d-70b49eeba804;campaign-revenge-of-the-carredon;"Aysle - Revenge of the Carredon";284212;
61d807f3-1a41-5954-8ee6-18b7d9e484cf;material-ruins-of-the-living-land;"Ruins of the Living Land";286341;
92e71c67-119a-546d-bace-87d359654ec0;campaign-when-cosms-collide;"Aysle - When Cosms Collide!";288595;
d0d97fda-c56d-5d4f-86f9-86c10f310e1f;novel-aysle;"Cracking Tales of Aysle";290970;
9e0e3f63-4fb0-5490-848d-492ace73bd86;deck-magic-items;"Aysle - Magic Item Deck";290971;
af1fb9d8-0c6d-5c62-a33e-c91de9d8207c;digital-aysle;"Aysle Digital Only Set";300488;
4770f5c6-ba75-5d5d-afc5-86158e542a48;sourcebook-cyberpapacy;"Cyberpapacy Sourcebook";296577;
4ba3d9d1-e708-5a81-8238-24a99f5a6bae;deck-cyberpapacy;"Cyberpapacy - Booster Deck";305510;
da402219-4d38-5b9c-a5c3-560b0956a578;campaign-relics-of-power-redux;"Relics of Power Redux";300489;
06365b0f-565c-56c6-87be-05fd900861ee;material-heroes-of-the-possibility-wars-volume-1;"Heroes of the Possibility Wars Volume #1";300783;
500e4e68-3f7a-5c2c-94fe-edd91e630019;deck-cyberware;"Cyberpapacy Cyberware Deck";311738;
b3f630f1-8220-5201-b409-20a30c97ff4f;delphi-missions-cyberpapacy;"Delphi Missions: Cyberpapacy";311746;
7ddd1ea0-9c9d-5155-9ad8-bbd441be8dbd;campaign-unhallowed-data;"Cyberpapacy - Unhallowed Data";311747;
a1cac7b3-12d3-537e-9193-12d682f3d7d4;digital-cyberpapacy;"Cyberpapacy Digital Only Set";311751;
46fb88a6-e889-532b-84ef-d50689b539fb;sourcebook-tharkold;"Tharkold Sourcebook";319681;
c9580b00-8071-5ccc-842e-c128d6545683;deck-tharkold;"Tharkold - Booster Deck";319791;
75ea5719-c17d-5e78-9991-f2813d3ddb4e;campaign-blood-on-the-blasted-lands;"Tharkold - Blood on the Blasted Lands";319683;
b665a424-6990-5937-845e-b02e6ce91fb0;delphi-missions-tharkold;"Delphi Missions: Tharkold";319688;
086d1d4f-fecd-550a-a629-807d4c8e8e07;delphi-missions-dancing-on-needle-tips;"Dancing on Needle Tips";337500;
b0d2b463-c194-5d71-b88d-a84070b8d71c;material-wastelanders-guide-to-tharkold;"The Wastelander's Guide to Tharkold";337502;
11209b13-4680-5b5b-8bcf-7e50e629442c;digital-tharkold;"Tharkold Digital Only Set";337504;
52f62d08-2c0f-5e77-8f5b-03decb6a405f;sourcebook-orrorsh;"Orrorsh Sourcebook";346718;
7a8f4173-3e4a-58a6-9365-764ada1a4810;deck-orrorsh;"Orrorsh - Booster Deck";346723;
d3860743-ea9c-53ef-813c-8b1403d016c9;campaign-a-trifling-matter;"Orrorsh - A Trifling Matter";346721;
c55f87bd-e4c2-523d-864f-ad1c144fd4af;delphi-missions-orrorsh;"Delphi Missions: Orrorsh";346722;
27d38b5a-67b4-55bf-b0b7-24d9c48af72e;material-torg-or-treat;"Orrorsh - Torg or Treat";353146;
1390f654-c1f7-5c91-8e0a-c3d76c456c0e;digital-orrorsh;"Orrorsh Digital Only Set";367560;
1eb0347d-711a-58f5-b56f-84f0766ea8e3;sourcebook-pan-pacifica;"Pan-Pacifica Sourcebook";400615;
9ddc5166-acaa-5b8b-ae3e-c0bd39db8ba7;infiniverse-kevin-elmore-the-boneyard;"The Boneyard";228364;Kevin Elmore
ccf5c367-74fd-5f98-9cf1-bf6a6bd6a49c;infiniverse-frank-gallagher-the-cape-may-tribe;"The Cape May Tribe";259366;Frank Gallagher
264b59a5-1f42-5a4a-97dc-93f542fb4c24;infiniverse-jay-rutley-guide-to-monster-hunters;"The Storm Knights' Guide to Monster Hunters";260070;Jay Rutley
e472d768-8a22-5ee2-8ba2-a21a7b9f3541;infiniverse-jay-rutley-guide-to-dragon-warriors;"The Storm Knights' Guide to Dragon Warriors";297528;Jay Rutley
213958cf-24fc-582e-9e57-8b7e17d7e959;infiniverse-jay-rutley-guide-to-realm-runners;"The Storm Knights' Guide to Realm Runners";318004;Jay Rutley
28750c92-74ad-5e56-9122-67b7e0f101a0;infiniverse-jay-rutley-guide-to-holomancy;"The Storm Knights' Guide to Holomancy";327746;Jay Rutley
d6e84e06-c16e-597a-b24e-12f9740dfa5c;infiniverse-jason-levine-strike-a-chord;"Strike a Chord";329926;"Jason ""PK"" Levine"
d4ca8701-fe09-5727-9fd0-2f72d25281ec;infiniverse-jay-rutley-caldera;"Caldera";349788;Jay Rutley
c274805f-9416-5744-8803-7259515457b6;infiniverse-jay-rutley-booster-akasha;"Cosm Card Booster: Akasha";307201;Jay Rutley
1f1aedd9-caff-529c-b4ab-c4a527b700c3;infiniverse-jay-rutley-booster-aysle;"Cosm Card Booster: Aysle";292871;Jay Rutley
0e65514e-05ca-561b-b038-425857ab58d1;infiniverse-jay-rutley-booster-core-earth;"Cosm Card Booster: Core Earth";256187;Jay Rutley
10f8309d-2326-51fc-86e0-e5f768618984;infiniverse-jay-rutley-booster-cyberpapacy;"Cosm Card Booster: Cyberpapacy";302610;Jay Rutley
77b32e70-9da9-550a-ac95-c0526d96aaef;infiniverse-jay-rutley-booster-cyberdeck-programs;"Cyberdeck Program Deck";335646;Jay Rutley
c574aaf2-fff9-595b-9939-294436eeed65;infiniverse-jay-rutley-booster-injury;"Injury Deck";345555;Jay Rutley
4d4463ad-1a1f-5e2b-a5b6-578ba9746d51;infiniverse-jay-rutley-booster-living-land;"Cosm Card Booster: Living Land";247788;Jay Rutley
a73d4322-ed9e-5dd9-be01-5e20b656170e;infiniverse-jay-rutley-booster-nile-empire;"Cosm Card Booster: Nile Empire";263821;Jay Rutley
e00521c3-c220-5450-892e-ea69cc7b8b2b;infiniverse-jay-rutley-booster-orrorsh;"Cosm Card Booster: Orrorsh";322591;Jay Rutley
374e2a2b-3380-5575-b2e3-0c9c43b8e11b;infiniverse-jay-rutley-booster-pan-pacifica;"Cosm Card Booster: Pan Pacifica";310565;Jay Rutley
fb22b9d1-0071-5f83-96c7-352ff6bc6da7;infiniverse-jay-rutley-booster-tharkold;"Cosm Card Booster: Tharkold";308818;Jay Rutley

